sample_id,x_req,y_req,z_req,yaw_req,detected,depth_valid,tf_found,note,bbox_x,bbox_y,bbox_w,bbox_h,edge_flag,area_px,angle_deg,depth_median_m,x_est_base,y_est_base,z_est_base,x_est_world,y_est_world,z_est_world,x_gt_world,y_gt_world,z_gt_world,qx_gt,qy_gt,qz_gt,qw_gt,yaw_gt,ex,ey,ez,enorm,yaw_err_req_gt,perception_json,truth_json,x_est_world_old,y_est_world_old,z_est_world_old,ex_old,ey_old,ez_old,enorm_old,calibrated_error_used
s0020,0.1304711091438289,-0.07757892479788231,0.775,0.31995671217246757,1,1,1,,104,31,113,107,0,8846.0,76.21839904785156,0.3682457506656647,-0.24740055059397828,0.09315405629471397,0.017910619455108134,0.129516558,-0.076493777,0.769898017,0.1304711091438289,-0.07757892479788231,0.7717708663999993,1.5797112316262793e-16,9.927640029208009e-17,0.15929683911474152,0.9872307314139143,0.31995671217246746,-0.000954551,0.001085148,-0.001872850,0.002365645,1.1102230246251565e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0020_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0020_truth.json,-0.4474005505939783,0.09315405629471397,0.7679106194551082,-0.5778716597378072,0.17073298109259627,-0.003860246944891066,0.6025780509339586,1
s0021,0.17636413380895516,-0.017613148009552083,0.775,0.3357465619101849,1,1,1,,66,129,106,91,0,7506.0,78.69007110595703,0.3937404453754425,-0.30101101781772327,0.12900557673024132,0.05105010795027043,0.172460469,-0.018276039,0.774812782,0.17636413380895516,-0.017613148009552097,0.7719904351999992,1.598137841858083e-16,-4.994854069549229e-16,0.16708590615274999,0.9859423410956213,0.3357465619101846,-0.003903664,-0.000662891,0.002822347,0.004862475,3.3306690738754696e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0021_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0021_truth.json,-0.5010110178177233,0.12900557673024132,0.8010501079502704,-0.6773751516266784,0.14661872473979343,0.029059672750271215,0.6936703907951829,1
s0022,0.07260431643240178,0.06698645679654631,0.775,-0.2317922802545782,1,1,1,,161,257,91,109,0,6823.5,90.0,0.3309606909751892,-0.29755298475922254,0.05358182984475883,0.15707540778875753,0.073401458,0.065980139,0.769310733,0.07260431643240178,0.0669864567965463,0.7718906311999992,2.0175614331003726e-16,-7.751412574380583e-17,-0.115636863128333,0.9932915563347144,-0.2317922802545789,0.000797142,-0.001006318,-0.002579899,0.002881664,6.938893903907228e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0022_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0022_truth.json,-0.49755298475922255,0.05358182984475883,0.9070754077887575,-0.5701573011916243,-0.013404626951787471,0.13518477658875827,0.5861176980327294,1
s0023,0.16368359648697609,0.028382882475186888,0.775,0.3208357743745147,1,1,1,,76,195,108,89,0,7401.0,79.2156982421875,0.38604891300201416,-0.3195781982666944,0.11867416747781721,0.09175748585082183,0.159108826,0.025625475,0.773092472,0.16368359648697606,0.02838288247518688,0.7720103959999992,-5.272843975157477e-19,2.0138969298350689e-16,0.15973074232402665,0.9871606201407224,0.3208357743745139,-0.004574770,-0.002757407,0.001082076,0.005450019,8.326672684688674e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0023_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0023_truth.json,-0.5195781982666945,0.11867416747781721,0.8417574858508219,-0.6832617947536705,0.09029128500263034,0.06974708985082267,0.6927220603244074,1
s0024,0.09627371280547012,0.024628520788123817,0.775,0.308400405359469,1,1,1,,135,191,75,96,0,4404.0,78.69007110595703,0.3455401062965393,-0.2857567330158688,0.07837096836447692,0.11406404484838162,0.102038339,0.024235515,0.775709620,0.09627371280547012,0.024628520788123824,0.7720103959999992,-2.318937179624343e-18,-1.6216746200923567e-16,0.15358984102408446,0.988134687547298,0.30840040535946894,0.005764626,-0.000393005,0.003699224,0.006860731,5.551115123125783e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0024_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0024_truth.json,-0.4857567330158688,0.07837096836447692,0.8640640448483816,-0.5820304458213389,0.053742447576353096,0.09205364884838241,0.5917107103989118,1
s0025,0.07546185096466335,-0.05038334290489765,0.775,0.039941978653820265,1,1,1,,162,68,90,95,0,5150.5,90.0,0.333597332239151,-0.23336382638638034,0.05382313612356898,0.05872502908476482,0.076799906,-0.051412636,0.768610455,0.07546185096466335,-0.05038334290489764,0.7717908271999993,1.7268110124832582e-16,1.2162399314195594e-16,0.01996966181377296,0.999800586420634,0.03994197865382045,0.001338055,-0.001029293,-0.003180372,0.003600639,-1.8735013540549517e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0025_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0025_truth.json,-0.4333638263863804,0.05382313612356898,0.8087250290847648,-0.5088256773510438,0.10420647902846662,0.036934201884765594,0.5206982768092511,1
s0026,0.07604336807701995,-0.07127371445007669,0.775,-0.3391338145707294,1,1,1,,155,34,97,97,0,6412.0,15.068489074707031,0.33138760924339294,-0.22205604378697505,0.05427933107377777,0.04613059241129902,0.075847901,-0.068188067,0.770701506,0.07604336807701995,-0.0712737144500767,0.7719505135999992,6.347147063174219e-16,-2.5595515142741764e-16,-0.16875548363142878,0.9856579461173752,-0.33913381457072933,-0.000195467,0.003085648,-0.001249007,0.003334584,-5.551115123125783e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0026_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0026_truth.json,-0.42205604378697503,0.05427933107377777,0.796130592411299,-0.498099411863995,0.12555304552385446,0.0241800788112998,0.5142482547864343,1
s0027,0.10163525437638374,0.023993636899375753,0.775,-0.02389950213429748,1,1,1,,135,198,76,84,0,4650.0,90.0,0.34612783789634705,-0.28654979126921404,0.07761637601073709,0.11418169348608836,0.101872947,0.024770135,0.774761453,0.10163525437638372,0.02399363689937575,0.7719305527999992,1.335157159208137e-16,-1.5636699262105821e-16,-0.011949466671973802,0.9999286025743315,-0.02389950213429736,0.000237693,0.000776498,0.002830901,0.002945071,-1.1796119636642288e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0027_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0027_truth.json,-0.48654979126921405,0.07761637601073709,0.8641816934860884,-0.5881850456455978,0.05362273911136134,0.0922511406860892,0.5977853452777208,1
s0028,0.1324959926033441,-0.07578100025670594,0.775,-0.2791266364498249,1,1,1,,103,43,111,93,0,7566.0,11.309932708740234,0.36753353476524353,-0.2494756310963101,0.09380422311082366,0.022199326542787556,0.129456471,-0.071774683,0.770819006,0.1324959926033441,-0.07578100025670594,0.7717309447999993,2.671991057361112e-16,5.2252127426361815e-18,-0.13911069207422713,0.9902768377330803,-0.27912663644982494,-0.003039522,0.004006318,-0.000911939,0.005110862,5.551115123125783e-17,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0028_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0028_truth.json,-0.4494756310963101,0.09380422311082366,0.7721993265427876,-0.5819716236996542,0.1695852233675296,0.00046838174278829303,0.6061768208680399,1
s0029,0.12785113853669444,-0.05491132302634782,0.775,-0.3410225390087037,1,1,1,,106,72,114,94,0,7529.0,12.52880859375,0.3644709587097168,-0.2590054416457177,0.08989873520790537,0.041526729486029645,0.124247290,-0.050510915,0.770239998,0.12785113853669441,-0.05491132302634781,0.7719105919999992,5.066436661350286e-16,-3.4661952652879763e-16,-0.1696862263684804,0.9854981403233721,-0.34102253900870316,-0.003603848,0.004400408,-0.001670594,0.005928086,-5.551115123125783e-16,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0029_perception.json,/home/ubuntu/ros2_ws/day6_tools/results/samples/s0029_truth.json,-0.4590054416457177,0.08989873520790537,0.7915267294860296,-0.5868565801824122,0.1448100582342532,0.019616137486030416,0.6047771420276022,1
